;Molecule ChEMBL ID;Smiles;Smiles_STAND;Standard Type;Standard Relation;Standard Value;Standard Units
51;CHEMBL3953540;Nc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;Nc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;Ki;'=';36;nM
52;CHEMBL3593904;CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ncccc32)cc1;CN(C)c1ccc(C=CC=C2C(=O)Nc3ncccc32)cc1;Ki;'=';35.1;nM
53;CHEMBL3939385;CCN(CC)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;CCN(CC)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;Ki;'=';34.9;nM
54;CHEMBL3593922;O=C1Nc2ccccc2/C1=C/C=C/c1ccc([N+](=O)[O-])cc1;O=C1Nc2ccccc2/C1=C/C=C/c1ccc([N+](=O)[O-])cc1;Ki;'=';27.1;nM
55;CHEMBL3973145;CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1;CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1;Ki;'=';21.4;nM
56;CHEMBL2069433;CN(C)c1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1;CN(C)c1ccc(CC2=Nc3ccc(I)cc3C2=O)cc1;Ki;'=';17;nM
57;CHEMBL2036419;CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOCCF)cc3s2)cc1;CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOCCF)cc3s2)cc1;Ki;'=';13;nM
58;CHEMBL3985550;CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;Ki;'=';10.5;nM
59;CHEMBL3893272;CCNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;CCNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1;Ki;'=';9.2;nM
60;CHEMBL480;Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1;Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1;Ki;'=';2.5;nM
61;CHEMBL2036430;CN(C)c1ccc(/N=N/c2nc3ccc(I)cc3s2)cc1;CN(C)c1ccc(/N=N/c2nc3ccc(I)cc3s2)cc1;Ki;'=';0.48;nM
0;CHEMBL3663951;Oc1ccc(-c2nnc(-c3ccc(O)c(O)c3)o2)cc1O;Oc1ccc(-c2nnc(-c3ccc(O)c(O)c3)o2)cc1O;IC50;'=';10000;nM
1;CHEMBL3663955;Oc1ccc(-c2nnc(-c3ccc(O)c(O)c3)s2)cc1O;Oc1ccc(-c2nnc(-c3ccc(O)c(O)c3)s2)cc1O;IC50;'=';10000;nM
2;CHEMBL3663938;Oc1ccc(-c2cc(Br)c(-c3ccc(O)c(O)c3)s2)cc1O;Oc1ccc(-c2cc(Br)c(-c3ccc(O)c(O)c3)s2)cc1O;IC50;'=';10000;nM
3;CHEMBL583912;Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2;Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2;IC50;'>=';10000;nM
4;CHEMBL3663954;Oc1ccc(-c2cnc(-c3ccc(O)c(O)c3)o2)cc1O;Oc1ccc(-c2cnc(-c3ccc(O)c(O)c3)o2)cc1O;IC50;'=';10000;nM
5;CHEMBL3663966;CC(=O)N1N=C(c2ccc(O)c(O)c2)CC1c1ccc(O)c(O)c1;CC(=O)N1N=C(c2ccc(O)c(O)c2)CC1c1ccc(O)c(O)c1;IC50;'=';10000;nM
6;CHEMBL3663952;Oc1ccc(-c2cn(-c3ccc(O)c(O)c3)nn2)cc1O;Oc1ccc(-c2cn(-c3ccc(O)c(O)c3)nn2)cc1O;IC50;'=';10000;nM
7;CHEMBL3663943;O=C(Nc1cc(O)c(O)cc1Br)c1ccc(O)c(O)c1;O=C(Nc1cc(O)c(O)cc1Br)c1ccc(O)c(O)c1;IC50;'=';10000;nM
8;CHEMBL4207221;COc1cc(/C=C/C(=O)Oc2cc(O)c3c(c2)O[C@H](c2ccc4c(c2)O[C@H](c2ccc(O)c(OC)c2)[C@@H](CO)O4)[C@@H](O)C3=O)ccc1O;COc1cc(C=CC(=O)Oc2cc(O)c3c(c2)OC(c2ccc4c(c2)O[C@H](c2ccc(O)c(OC)c2)[C@@H](CO)O4)C(=O)C3O)ccc1O;IC50;'=';10000;nM
9;CHEMBL3663967;O=[N+]([O-])c1cc(-c2ccc(O)c(O)c2)ccc1-c1ccc(O)c(O)c1;O=[N+]([O-])c1cc(-c2ccc(O)c(O)c2)ccc1-c1ccc(O)c(O)c1;IC50;'=';10000;nM
10;CHEMBL225618;O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)c(O)c1;O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)c(O)c1;IC50;'=';10000;nM
11;CHEMBL3639628;O=C(/C=C/c1ccc(O)c(O)c1)c1cc(O)c(O)cc1Br;O=C(C=Cc1ccc(O)c(O)c1)c1cc(O)c(O)cc1Br;IC50;'=';10000;nM
12;CHEMBL3663941;Oc1ccc(-c2nsc(-c3ccc(O)c(O)c3)n2)cc1O;Oc1ccc(-c2nsc(-c3ccc(O)c(O)c3)n2)cc1O;IC50;'=';10000;nM
13;CHEMBL140;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O;COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O;IC50;'=';10000;nM
14;CHEMBL4217978;COc1cc(/C=C/C(=O)Oc2cc(O)c3c(c2)O[C@H](c2ccc4c(c2)O[C@@H](c2ccc(O)c(OC)c2)[C@H](CO)O4)[C@@H](O)C3=O)ccc1O;COc1cc(C=CC(=O)Oc2cc(O)c3c(c2)OC(c2ccc4c(c2)O[C@@H](c2ccc(O)c(OC)c2)[C@H](CO)O4)C(=O)C3O)ccc1O;IC50;'=';10000;nM
15;CHEMBL3663948;Oc1ccc(-c2cc(-c3ccc(O)c(O)c3)c(-c3ccc(O)c(O)c3)s2)cc1O;Oc1ccc(-c2cc(-c3ccc(O)c(O)c3)c(-c3ccc(O)c(O)c3)s2)cc1O;IC50;'=';10000;nM
17;CHEMBL3663942;Oc1ccc(-c2ccc(-c3cc(O)c(O)c(O)c3)s2)cc1O;Oc1ccc(-c2ccc(-c3cc(O)c(O)c(O)c3)s2)cc1O;IC50;'=';10000;nM
18;CHEMBL3330745;N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1)C(N)=O;N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1)C(N)=O;IC50;'>';10000;nM
19;CHEMBL3330739;O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1;O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1;IC50;'>';10000;nM
20;CHEMBL3330742;CN1C(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N(C)C1=O;CN1C(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N(C)C1=O;IC50;'>';10000;nM
21;CHEMBL3330746;CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=O)s3)cc21;CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=O)s3)cc21;IC50;'>';10000;nM
22;CHEMBL3330752;COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(C=C(C#N)C#N)s4)cc2n3C(C)(C)C)cc1;COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(C=C(C#N)C#N)s4)cc2n3C(C)(C)C)cc1;IC50;'>';10000;nM
23;CHEMBL3889997;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccnc2)ccc1O;COc1cc(C=CC(=O)CC(=O)/C=C/c2cccnc2)ccc1O;IC50;'>';10000;nM
24;CHEMBL3330749;COc1ccc(-c2ccc(-c3ccc(C=O)s3)s2)cc1;COc1ccc(-c2ccc(-c3ccc(C=O)s3)s2)cc1;IC50;'>';10000;nM
